,Date,Annee,Mois,Jour,jour_sem,Code INSEE région,Consommation (MW),jour férié,Région,Température (°C),PERIODE,Prix
0,2013-01-01,2013,1,1,1,11,194731.0,1,Île-de-France,6.0,2013-01,14.4019
1,2013-01-01,2013,1,1,1,24,50314.0,1,Centre-Val de Loire,7.0,2013-01,14.4019
2,2013-01-01,2013,1,1,1,27,54073.0,1,Bourgogne-Franche-Comté,5.0,2013-01,14.4019
3,2013-01-01,2013,1,1,1,28,75964.0,1,Normandie,6.0,2013-01,14.4019
4,2013-01-01,2013,1,1,1,32,124001.0,1,Hauts-de-France,6.0,2013-01,14.4019
5,2013-01-01,2013,1,1,1,44,107024.0,1,Grand Est,5.0,2013-01,14.4019
6,2013-01-01,2013,1,1,1,52,67010.0,1,Pays de la Loire,7.0,2013-01,14.4019
7,2013-01-01,2013,1,1,1,53,59571.0,1,Bretagne,8.0,2013-01,14.4019
8,2013-01-01,2013,1,1,1,75,113846.0,1,Nouvelle-Aquitaine,8.0,2013-01,14.4019
9,2013-01-01,2013,1,1,1,76,104819.0,1,Occitanie,6.0,2013-01,14.4019
10,2013-01-01,2013,1,1,1,84,173497.0,1,Auvergne-Rhône-Alpes,6.0,2013-01,14.4019
11,2013-01-01,2013,1,1,1,93,123156.0,1,Provence-Alpes-Côte d'Azur,6.0,2013-01,14.4019
12,2013-01-02,2013,1,2,2,11,245629.0,0,Île-de-France,4.0,2013-01,14.4019
13,2013-01-02,2013,1,2,2,24,64973.0,0,Centre-Val de Loire,3.0,2013-01,14.4019
14,2013-01-02,2013,1,2,2,27,65996.0,0,Bourgogne-Franche-Comté,1.0,2013-01,14.4019
15,2013-01-02,2013,1,2,2,28,95487.0,0,Normandie,6.0,2013-01,14.4019
16,2013-01-02,2013,1,2,2,32,154509.0,0,Hauts-de-France,6.0,2013-01,14.4019
17,2013-01-02,2013,1,2,2,44,133958.0,0,Grand Est,3.0,2013-01,14.4019
18,2013-01-02,2013,1,2,2,52,91561.0,0,Pays de la Loire,6.0,2013-01,14.4019
19,2013-01-02,2013,1,2,2,53,76824.0,0,Bretagne,8.0,2013-01,14.4019
20,2013-01-02,2013,1,2,2,75,144011.0,0,Nouvelle-Aquitaine,5.0,2013-01,14.4019
21,2013-01-02,2013,1,2,2,76,125245.0,0,Occitanie,5.0,2013-01,14.4019
22,2013-01-02,2013,1,2,2,84,208494.0,0,Auvergne-Rhône-Alpes,3.0,2013-01,14.4019
23,2013-01-02,2013,1,2,2,93,139515.0,0,Provence-Alpes-Côte d'Azur,6.0,2013-01,14.4019
24,2013-01-03,2013,1,3,3,11,243431.0,0,Île-de-France,8.0,2013-01,14.4019
25,2013-01-03,2013,1,3,3,24,64404.0,0,Centre-Val de Loire,7.0,2013-01,14.4019
26,2013-01-03,2013,1,3,3,27,72384.0,0,Bourgogne-Franche-Comté,2.0,2013-01,14.4019
27,2013-01-03,2013,1,3,3,28,95099.0,0,Normandie,9.0,2013-01,14.4019
28,2013-01-03,2013,1,3,3,32,159945.0,0,Hauts-de-France,9.0,2013-01,14.4019
29,2013-01-03,2013,1,3,3,44,145908.0,0,Grand Est,4.0,2013-01,14.4019
